time,x1,x2,y1,y2,x,y
6,2.107983350753784,10.3934326171875,618.9798583984375,425.8979797363281,6.250707983970642,522.4389190673828
9,2.629687547683716,7.7105712890625,626.4326782226562,425.62664794921875,5.170129418373108,526.0296630859375
10,2.8086183071136475,6.508886814117432,648.2118530273438,426.0408935546875,4.6587525606155396,537.1263732910156
151,0.33491823077201843,328.79583740234375,115.5670166015625,425.54217529296875,164.56537781655788,270.5545959472656
193,56.09564208984375,279.2268371582031,179.2763214111328,366.4766540527344,167.66123962402344,272.8764877319336
194,12.599267959594727,286.79681396484375,149.85997009277344,396.1306457519531,149.69804096221924,272.9953079223633
231,188.27223205566406,68.80525207519531,344.4500427246094,183.41452026367188,128.5387420654297,263.9322814941406
232,184.85215759277344,69.30489349365234,344.9379577636719,183.7254180908203,127.07852554321289,264.3316879272461
233,185.01470947265625,69.92559814453125,345.0414123535156,186.49205017089844,127.47015380859375,265.76673126220703
234,158.89060974121094,69.87198638916016,343.85540771484375,185.5953826904297,114.38129806518555,264.7253952026367
235,161.37741088867188,67.4239730834961,341.5667724609375,182.22589111328125,114.40069198608398,261.8963317871094
236,153.30313110351562,64.78569793701172,340.7974853515625,179.62808227539062,109.04441452026367,260.21278381347656
237,150.7027587890625,62.84602737426758,339.8587646484375,180.02647399902344,106.77439308166504,259.94261932373047
238,146.68841552734375,62.14101791381836,338.9657287597656,180.89710998535156,104.41471672058105,259.9314193725586
239,145.81051635742188,62.41455841064453,338.3808288574219,180.404296875,104.1125373840332,259.39256286621094
240,142.85289001464844,63.9639778137207,339.4430236816406,183.8569793701172,103.40843391418457,261.6500015258789
241,134.80873107910156,65.93036651611328,336.0554504394531,186.3576202392578,100.36954879760742,261.20653533935547
242,133.16915893554688,68.11553192138672,333.06658935546875,188.15310668945312,100.6423454284668,260.60984802246094
243,129.38694763183594,69.3667221069336,342.94696044921875,192.14744567871094,99.37683486938477,267.54720306396484
244,126.34220123291016,71.57308959960938,328.2158203125,195.13467407226562,98.95764541625977,261.6752471923828
245,119.07484436035156,72.27837371826172,324.95196533203125,195.86947631835938,95.67660903930664,260.4107208251953
247,108.28192138671875,72.11858367919922,319.2957458496094,196.5648193359375,90.20025253295898,257.93028259277344
248,103.08134460449219,74.18924713134766,316.89691162109375,197.84490966796875,88.63529586791992,257.37091064453125
